date,country,country_code,ranking,points,prev_points,prev_rank,confederation,pts_avg_1,pts_avg_wgt_1,pts_avg_2,pts_avg_wgt_2,pts_avg_3,pts_avg_wgt_3,pts_avg_4,pts_avg_wgt_4
2016-04-07,Cape Verde Islands,CPV,47,620(620.4),789,-16,CAF,241.19,241.19,407.97,203.99,374.62,112.39,314.19,62.84
2016-04-07,Tunisia,TUN,47,620(620.37),609,0,CAF,221.51,221.51,484.87,242.44,276.96,83.09,366.71,73.34
2016-04-07,Norway,NOR,49,605(605.38),594,2,UEFA,367.04,367.04,237.04,118.52,182.88,54.86,324.78,64.96
2016-04-07,Australia,AUS,50,601(600.64),506,17,AFC,353.81,353.81,272.17,136.09,240.62,72.19,192.79,38.56
2016-04-07,Congo DR,COD,51,596(596.37),565,7,CAF,297.93,297.93,382.36,191.18,155.11,46.53,303.67,60.73
2016-04-07,Panama,PAN,52,593(592.93),576,3,CONCACAF,293.86,293.86,209.56,104.78,392.48,117.74,382.75,76.55
2016-04-07,Trinidad and Tobago,TRI,53,592(591.95),598,-4,CONCACAF,331.93,331.93,284.28,142.14,227.24,68.17,248.56,49.71
2016-04-07,Jamaica,JAM,54,585(584.7),593,-2,CONCACAF,359.58,359.58,261.82,130.91,120.08,36.02,290.93,58.19
2016-04-07,Serbia,SRB,55,581(580.77),596,-5,UEFA,300.14,300.14,176.18,88.09,449.17,134.75,289.00,57.80
2016-04-07,Korea Republic,KOR,56,579(579.33),566,1,AFC,304.20,304.20,312.46,156.23,217.75,65.32,267.84,53.57
2016-04-07,Japan,JPN,57,577(577.02),575,-1,AFC,266.44,266.44,335.96,167.98,213.61,64.08,392.56,78.51
2016-04-07,Guinea,GUI,58,570(570.27),540,5,CAF,228.79,228.79,395.33,197.66,323.18,96.95,234.30,46.86
2016-04-07,Congo,CGO,59,562(561.89),564,0,CAF,253.26,253.26,420.24,210.12,127.42,38.23,301.43,60.29
2016-04-07,Saudi Arabia,KSA,60,559(559.01),562,0,AFC,380.91,380.91,118.20,59.10,297.06,89.12,149.41,29.88
2016-04-07,Slovenia,SVN,61,558(558.41),577,-7,UEFA,231.11,231.11,278.03,139.01,529.05,158.72,147.83,29.57
2016-04-07,Finland,FIN,61,558(558.37),615,-15,UEFA,328.63,328.63,146.29,73.14,367.11,110.13,232.35,46.47
2016-04-07,Cameroon,CMR,63,556(556.44),551,-2,CAF,236.73,236.73,321.70,160.85,345.86,103.76,275.53,55.11
2016-04-07,Morocco,MAR,64,555(554.5),424,17,CAF,381.65,381.65,138.27,69.14,210.95,63.29,202.15,40.43
2016-04-07,Mali,MLI,65,551(551.11),490,8,CAF,273.89,273.89,276.00,138.00,129.07,38.72,502.51,100.50
2016-04-07,Uzbekistan,UZB,66,549(548.8),484,8,AFC,311.74,311.74,181.07,90.54,303.39,91.02,277.53,55.51
2016-04-07,Nigeria,NGA,67,534(533.96),547,-5,CAF,190.76,190.76,326.03,163.02,275.43,82.63,487.76,97.55
2016-04-07,United Arab Emirates,UAE,68,521(520.95),517,-4,AFC,256.74,256.74,242.20,121.10,291.77,87.53,277.90,55.58
2016-04-07,Bulgaria,BUL,69,508(507.55),500,1,UEFA,233.89,233.89,270.26,135.13,185.66,55.70,414.15,82.83
2016-04-07,South Africa,RSA,70,507(506.9),500,0,CAF,223.03,223.03,322.64,161.32,220.15,66.05,282.51,56.50
2016-04-07,Haiti,HAI,71,502(501.96),517,-7,CONCACAF,288.34,288.34,204.55,102.27,179.24,53.77,287.83,57.57
2016-04-07,Uganda,UGA,72,491(490.94),506,-5,CAF,242.22,242.22,284.85,142.42,190.95,57.28,245.07,49.01
2016-04-07,Benin,BEN,73,489(488.9),464,4,CAF,294.77,294.77,191.44,95.72,165.12,49.54,244.38,48.88
2016-04-07,Venezuela,VEN,74,476(476.24),480,1,CONMEBOL,229.87,229.87,139.94,69.97,320.04,96.01,401.95,80.39
2016-04-07,Burkina Faso,BFA,75,469(468.78),392,11,CAF,187.85,187.85,260.77,130.38,247.79,74.34,381.09,76.22
2016-04-07,Israel,ISR,76,467(466.71),506,-9,UEFA,140.66,140.66,428.07,214.03,199.00,59.70,261.59,52.32
2016-04-07,Belarus,BLR,77,465(464.75),517,-13,UEFA,269.47,269.47,207.01,103.51,141.74,42.52,246.27,49.25
2016-04-07,Zambia,ZAM,78,460(459.94),457,0,CAF,205.20,205.20,305.97,152.98,134.92,40.48,306.39,61.28
2016-04-07,Bolivia,BOL,79,440(439.52),499,-7,CONMEBOL,240.81,240.81,88.83,44.42,240.17,72.05,411.25,82.25
2016-04-07,Cyprus,CYP,80,426(425.85),442,-1,UEFA,251.21,251.21,245.03,122.51,83.75,25.13,135.00,27.00
2016-04-07,China PR,CHN,81,423(423.24),351,15,AFC,234.48,234.48,245.50,122.75,132.40,39.72,131.43,26.29
2016-04-07,Jordan,JOR,82,418(418.02),414,0,AFC,257.18,257.18,61.72,30.86,272.08,81.62,241.77,48.35
2016-04-07,Equatorial Guinea,EQG,83,416(416.25),479,-7,CAF,157.23,157.23,402.98,201.49,67.94,20.38,185.76,37.15
2016-04-07,Qatar,QAT,83,416(415.92),441,-3,AFC,251.18,251.18,171.62,85.81,160.54,48.16,153.89,30.78
2016-04-07,Antigua and Barbuda,ATG,85,413(412.51),373,5,CONCACAF,268.81,268.81,238.21,119.11,0.00,0.00,122.96,24.59
2016-04-07,Honduras,HON,86,403(403.23),375,3,CONCACAF,162.82,162.82,66.68,33.34,480.75,144.22,314.24,62.85
2016-04-07,Rwanda,RWA,87,401(400.61),397,-2,CAF,177.52,177.52,368.65,184.33,78.73,23.62,75.76,15.15
2016-04-07,Gabon,GAB,88,395(394.78),412,-5,CAF,119.88,119.88,380.65,190.33,177.05,53.12,157.33,31.47
2016-04-07,Guatemala,GUA,89,387(387.15),354,6,CONCACAF,221.96,221.96,244.52,122.26,12.50,3.75,195.93,39.19
2016-04-07,Faroe Islands,FRO,90,383(382.82),357,3,UEFA,241.31,241.31,270.27,135.14,21.25,6.38,0.00,0.00
2016-04-07,Botswana,BOT,91,379(379.44),370,1,CAF,215.11,215.11,157.39,78.70,227.74,68.32,86.55,17.31
2016-04-07,St. Kitts and Nevis,SKN,92,368(367.95),284,29,CONCACAF,241.97,241.97,225.55,112.78,0.00,0.00,66.00,13.20
2016-04-07,Estonia,EST,93,366(366.4),376,-5,UEFA,209.43,209.43,179.98,89.99,144.31,43.29,118.40,23.68
2016-04-07,Montenegro,MNE,94,365(364.85),409,-10,UEFA,118.91,118.91,203.39,101.70,160.11,48.03,481.06,96.21
2016-04-07,Canada,CAN,95,357(357.5),385,-8,CONCACAF,229.53,229.53,134.67,67.33,54.61,16.38,221.25,44.25
2016-04-07,Central African Republic,CTA,96,355(355.07),302,14,CAF,268.46,268.46,21.50,10.75,0.00,0.00,379.32,75.86
2016-04-07,Chad,CHA,97,348(347.86),275,30,CAF,293.25,293.25,109.22,54.61,0.00,0.00,0.00,0.00
2016-04-07,El Salvador,SLV,98,347(347.29),340,1,CONCACAF,171.16,171.16,133.55,66.77,267.17,80.15,146.01,29.20
2016-04-07,Oman,OMA,99,346(346.42),342,-2,AFC,176.62,176.62,124.70,62.35,242.23,72.67,173.89,34.78
2016-04-07,Kyrgyzstan,KGZ,100,340(340.42),324,5,AFC,255.80,255.80,66.96,33.48,41.48,12.44,193.50,38.70
2016-04-07,Mozambique,MOZ,101,338(337.55),337,-1,CAF,148.62,148.62,255.91,127.96,87.02,26.11,174.35,34.87
2016-04-07,Guinea-Bissau,GNB,102,336(335.57),207,45,CAF,233.27,233.27,204.61,102.30,0.00,0.00,0.00,0.00
2016-04-07,Togo,TOG,103,334(334.03),333,-2,CAF,115.93,115.93,226.46,113.23,145.77,43.73,305.70,61.14
2016-04-07,Mauritania,MTN,103,334(333.95),320,3,CAF,202.58,202.58,178.18,89.09,79.67,23.90,91.85,18.37
2016-04-07,Iraq,IRQ,105,333(332.97),371,-14,AFC,157.68,157.68,218.68,109.34,119.25,35.78,150.88,30.18
2016-04-07,Nicaragua,NCA,106,329(328.9),302,4,CONCACAF,271.24,271.24,91.07,45.54,0.00,0.00,60.63,12.13
2016-04-07,Malawi,MWI,107,326(326.19),329,-3,CAF,154.56,154.56,237.82,118.91,73.69,22.11,153.08,30.62
2016-04-07,Latvia,LVA,108,323(322.61),341,-10,UEFA,141.64,141.64,242.61,121.31,132.60,39.78,99.40,19.88
2016-04-07,Liberia,LBR,109,322(321.68),333,-8,CAF,228.44,228.44,76.11,38.06,53.15,15.94,196.20,39.24
2016-04-07,Syria,SYR,110,316(316.38),279,13,AFC,207.54,207.54,131.58,65.79,85.69,25.71,86.70,17.34
2016-04-07,Armenia,ARM,110,316(316.15),296,6,UEFA,95.87,95.87,86.88,43.44,520.63,156.19,103.28,20.66
2016-04-07,Korea DPR,PRK,112,314(314.17),356,-18,AFC,261.77,261.77,42.12,21.06,16.51,4.95,131.92,26.38
2016-04-07,Libya,LBY,112,314(313.96),319,-5,CAF,183.88,183.88,29.67,14.84,233.52,70.06,225.91,45.18
2016-04-07,Belize,BLZ,114,307(307.24),286,5,CONCACAF,255.85,255.85,42.50,21.25,19.71,5.91,121.15,24.23
2016-04-07,Kenya,KEN,115,303(302.8),331,-12,CAF,177.05,177.05,109.58,54.79,145.34,43.60,136.80,27.36
2016-04-07,Kazakhstan,KAZ,116,300(300.44),276,9,UEFA,202.52,202.52,86.64,43.32,129.57,38.87,78.67,15.73
2016-04-07,Philippines,PHI,116,300(300.2),263,19,AFC,208.01,208.01,111.25,55.63,43.97,13.19,116.86,23.37
2016-04-07,Sierra Leone,SLE,118,298(298.35),297,-3,CAF,124.68,124.68,120.50,60.25,198.23,59.47,269.75,53.95
2016-04-07,Thailand,THA,119,297(297.17),288,-1,AFC,210.49,210.49,103.38,51.69,54.18,16.25,93.67,18.73
2016-04-07,Niger,NIG,120,296(295.69),312,-12,CAF,163.94,163.94,106.44,53.22,114.63,34.39,220.71,44.14
2016-04-07,Angola,ANG,121,291(290.9),306,-12,CAF,114.11,114.11,193.26,96.63,146.36,43.91,181.25,36.25
2016-04-07,Burundi,BDI,122,290(289.65),273,7,CAF,182.11,182.11,119.12,59.56,70.69,21.21,133.87,26.77
2016-04-07,Georgia,GEO,123,289(289.12),283,-1,UEFA,186.43,186.43,73.16,36.58,84.64,25.39,203.60,40.72
2016-04-07,Ethiopia,ETH,123,289(288.7),285,-3,CAF,123.58,123.58,156.04,78.02,144.42,43.33,218.92,43.78
2016-04-07,Cuba,CUB,125,285(285.24),263,10,CONCACAF,116.68,116.68,127.99,63.99,136.98,41.09,317.35,63.47
2016-04-07,Kuwait,KUW,126,284(284.08),265,7,AFC,180.26,180.26,81.79,40.90,128.87,38.66,121.34,24.27
2016-04-07,Zimbabwe,ZIM,127,281(281.4),271,4,CAF,168.06,168.06,59.04,29.52,151.81,45.54,191.40,38.28
2016-04-07,Turkmenistan,TKM,128,277(276.79),298,-15,AFC,220.29,220.29,64.50,32.25,0.00,0.00,121.26,24.25
2016-04-07,Sudan,SDN,129,276(276.07),263,6,CAF,136.80,136.80,173.19,86.59,112.16,33.65,95.15,19.03
2016-04-07,Tanzania,TAN,130,274(274.4),276,-5,CAF,118.58,118.58,188.28,94.14,69.66,20.90,203.95,40.79
2016-04-07,Palestine,PLE,131,273(272.56),290,-14,AFC,183.41,183.41,141.43,70.72,0.00,0.00,92.14,18.43
